Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
57844,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.00753012765198946,-0.051719848066568375,0.3839612305164337
57928,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57928,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,0.018668634817004204,0.014364111237227917,0.40531209111213684
58011,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58011,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.04203898459672928,0.07136189192533493,0.427416056394577
58095,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58095,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.06336404383182526,0.11198483407497406,0.45692160725593567
58178,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58178,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.08583631366491318,0.12076228111982346,0.4949851632118225
58262,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58262,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.09743395447731018,0.10996188223361969,0.5236855745315552
58346,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58346,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.10299935191869736,0.0975385308265686,0.5463757514953613
58429,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58429,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.10443467646837234,0.08382139354944229,0.5612743496894836
58514,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58514,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.10102549195289612,0.07554647326469421,0.5692701935768127
58595,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58595,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.09666082262992859,0.07743729650974274,0.5735131502151489
58681,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58681,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.09712882339954376,0.07083398848772049,0.5810059905052185
58762,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58762,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.10071298480033875,0.07733049988746643,0.5770511627197266
58846,2022-09-28 11:04:24 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
58846,2022-09-28 11:04:24 AM,,PegboardData,,,RightControllerPosition,0.09005903452634811,0.0858997330069542,0.5477222204208374
